asn,name,country,registry
AS137864,Royal College of Pathologists of Australasia,AU,apnic
AS137865,TELNYX ASIA PACIFIC PTE. LTD.,SG,apnic
AS137866,AUSTRALIAN ELECTORAL COMMISSION,AU,apnic
AS137867,Techno Phobia Australia Pty Ltd,AU,apnic
AS137868,Star Internet Service,BD,apnic
AS137869,Touch Networks Australia Pty Ltd,AU,apnic
AS13787,"CenturyLink Communications, LLC",US,arin
AS137870,"IHNetworks, LLC",US,apnic
AS137872,China Mobile Hong Kong Company Limited,HK,apnic
AS137873,Parvez Ahmed,BD,apnic
AS137874,Fibergrid,IN,apnic
AS137875,ShedDC,JP,apnic
AS137876,Tencent (Thailand) Company Limited,TH,apnic
AS137877,LIGHT CLOUD (HK) LIMITED,HK,apnic
AS137878,MYA INYA CONSTRUCTION COMPANY LIMITED,MM,apnic
AS137879,Guardians of New Zealand Superannuation,NZ,apnic
AS13788,US Courts,US,arin
AS137880,Prime Network Pvt.ltd,NP,apnic
AS137881,LIVEWIRE IT PTY LTD,AU,apnic
AS137882,Huajuan Enterprise Network,HK,apnic
AS137883,Md. Sadiul Islam,BD,apnic
AS137884,Gazipur Network System,BD,apnic
AS137885,Capital Nomura Securities PLC,TH,apnic
AS137886,Warrnambool City Council,AU,apnic
AS137887,Hang Seng Management College,HK,apnic
AS137888,"Bee Connect Myanmar Co., Ltd.",MM,apnic
AS137889,GENIUS IT,BD,apnic
AS13789,Internap Network Services Corporation,US,arin
AS137890,Walesi Ltd,FJ,apnic
AS137891,Be The First,MM,apnic
AS137892,LINGSHENG GROUP (HK) LIMITED,HK,apnic
AS137893,NEXGENET COMPANY LIMITED,MM,apnic
AS137894,First United Broadcast Corporation,PH,apnic
AS137895,Fast Net Telecom,AF,apnic
AS137896,Hunter Water Corporation,AU,apnic
AS137897,ELIX Networks,SG,apnic
AS137898,SWANCAGE PTY. LIMITED,AU,apnic
AS137899,I LAYER LIMITED,HK,apnic
AS1379,"Sybase 365, Inc",US,arin
AS13790,Internap Network Services Corporation,US,arin
AS137900,Ruralco Holdings Limited,AU,apnic
AS137901,"ATA TELECOM Co., Ltd",KH,apnic
AS137902,Cagayan Cybertech Corporation,PH,apnic
AS137903,THE STAR ENTERTAINMENT QLD LIMITED,AU,apnic
AS137904,Black & Veatch (SEA) PTE LTD,SG,apnic
AS137905,Mangkone Technology Co. Ltd.,LA,apnic
