network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2001:240:29df:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29e0::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29e8::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29e8:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29e9::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ea::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ec::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ee::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29ee:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ef::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29f0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a00::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a08::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a0a::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a0b::/49,1855431,1861060,,0,0,950-0965,37.9022,139.0236,100
2001:240:2a0b:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a0c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a10::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a20::/49,1856215,1861060,,0,0,380-0837,36.6514,138.1811,100
2001:240:2a20:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a21::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a22::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a24::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a28::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a30::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a40::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a60::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a70::/49,1853909,1861060,,0,0,540-0008,34.6864,135.5200,100
2001:240:2a70:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a71::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a72::/49,1853909,1861060,,0,0,540-0008,34.6864,135.5200,100
2001:240:2a72:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a73::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a74::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a76::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a77::/49,1853909,1861060,,0,0,540-0008,34.6864,135.5200,100
2001:240:2a77:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a78::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a80::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2b00::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2c00::/38,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:3000::/36,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:4000::/34,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:8000::/35,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:a000::/36,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:b000::/37,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:b800::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:ba00::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb00::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb40::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb48::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb49::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb49:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:bb4a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb4c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb50::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb58::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb5c::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb5e::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:bb5e:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb5f::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb60::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:bb80::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
